Query,Job Title,IT Skills,Soft Skills,Salary,Location,Education,Experience,Description,Seniority,job_id
IT Management,IT Manager,"Active Directory, Business Analysis, Change Management, Cloud Computing, Data Center, Disaster Recovery, Integration, IT Management, IT Operations, IT Service Management, IT Strategy, ITIL, Leadership, Management, Networking, Program Management, Project Management, Team Leadership, Troubleshooting, Vendor Management",,"$5,000to$7,000Monthly","SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",,5 years  exp,manager manager job involves vast array duties managing systems infrastructure knowledge mac ecosystem must 50 staff mac major manager job responsibilities ensure laptop desktop systems mac windows based maintained according corporate standards ensure excellent service support delivered staff including troubleshooting mac windows systems mobile devices applications ensure systems infrastructure including servers storage cloud based services lan wan equipment firewalls switches wi fi telephone systems v equipment printers desktop laptop computers mobile devices android secure properly managed functioning well ensure security governance policies procedures strictly adhered staff ensure security governance requirements organization clients 100 met communicate regularly regional global management implement projects completion communicate regularly cfo senior management keep informed status projects plans effectively communicate relevant related information staff ensure company data successfully backed locally offsite location online backup oversee related purchasing budget usage work closely finance director regional management develop annual plan capex budget offices revise needed throughout year ensure team local regional management well informed times changes news events within company build good relationships vendors negotiate contracts disputes requirements 5 years management experience multinational company preferably advertising agency design graphic arts company experienced implementing managing security related systems including full disk encryption anti virus malware email security multi factor authentication vulnerability scanning patch management based access control proven technical knowledge expertise expert mac windows systems knowledgeable windows server active directory cloud services office 365 firewalls wan architecture virtualization vmware comfortable providing hands end user support experienced pcs scratch format install os drivers updates pleasant personality works well colleagues responsive needs right attitude excellent written verbal communication skills takes initiative inform users concerns tips via email training comfortable call emergencies work hours weekends familiar controls processes policies compliant corporate governance laws sarbanes oxley us resourceful knows solve problems independently using online offline resources project management experience good negotiator price service support terms vendors suppliers experienced putting together budgets proposals ethical trustworthy naturally passionate technology,"Manager, Professional",JOB-2019-0098419
IT Consulting,Active Directory Consultant,"Analysis, Business Analysis, Business Development, Business Strategy, Change Management, Entrepreneurship, Integration, Leadership, Management, Management Consulting, Marketing, Marketing Strategy, Program Management, Project Management, Research, Social Media, Start-ups, Strategic Planning, Strategy, Training",,"$5,000to$7,000Monthly","ROBINSON 112, 112 ROBINSON ROAD 068902",,4 years  exp,undertaking various active directory projects 2019 address variety issues needs ensure communicate project task progress updates report risk issues manager stakeholders sponsors timely manner meeting management appropriate staff understand requirements working close collaboration global team local team make sure stability platform hardware working remediation issues related platform provide technical support projects achieve delivery set within defined timeframe conduct situational data analysis identify understand problem issue arrange provide training people affected change per requirement ensure security risk management directives policies applied operational products services integrated planning development implementation new products services requirements university degree computer science equivalent proven experience working active directory windows system 4 years direct experience managing supporting large windows environment deep knowledge microsoft product windows os windows server active directory sccm ms office ability implement solutions utilizing microsoft technologies itil itsm project management skills excellent organizational coordination skills service oriented customer focused positive committed enthusiastic team player flexible ' attitude,Non-executive,JOB-2019-0097764
IT Consulting,Senior Consultant (SAP HCM),"Analysis, Business Analysis, Business Development, Business Intelligence, Business Process, Business Process Improvement, Business Strategy, Change Management, CRM, Integration, Leadership, Management, Management Consulting, Process Improvement, Program Management, Project Management, Requirements Analysis, Strategic Planning, Strategy, Training",,"$6,000to$9,000Monthly","PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",,8 years  exp,provide l2 support sap hcm related issues troubleshooting investigating analyzing solving sap problems including sub systems map client business requirements processes objectives advising business implementation enhancements existing system incident management provide application support ensure sla met via investigation resolution change request handling requiring development new improved procedures using industry best may work cross functional linked teams address business systems issues conduct root cause analysis needed involved recommending resolution root causes able function independently within designated responsibility area resolve business issues working various groups within outside company ie system users company management consultants sap co ordination 3rd party vendor necessary day day support activity support initiatives increase user awareness use online training materials develop maintain documentation key technical processes project work appropriate deliver manage timely manner small enhancement projects meet business requirements requirementsmust skills possess degree equivalent field information systems computer science software engineering minimum 8 years relevant hands experience sap implementation application support singapore strong understanding sap hcm processes payroll leave claims training performance appraisal individual development plan local statutory reporting audit requirements excellent communication good client facing experience initiative ability work independently excellent knowledge practical experience sap ecc 4 hana good understanding sap technology landscape version upgrade concepts sound understanding system landscape components general good skills sap certification preferred functional business know experience would advantage personal competencies excellent cooperation communication skills problem solver team player responsible proactive ability work independently,Senior Executive,JOB-2019-0098085
Enterprise Systems & ERP,SAP IT CONSULTANT,"Analysis, Business Analysis, Business Development, Business Strategy, Change Management, Entrepreneurship, Integration, Leadership, Management, Management Consulting, Marketing, Marketing Strategy, Program Management, Project Management, Research, Social Media, Start-ups, Strategic Planning, Strategy, Training",,"$2,500to$4,000Monthly","ANSON CENTRE, 51 ANSON ROAD 079904",,2 years  exp,company overview intellect minds singapore based company since 2008 specializing talent acquisition application development training serve big mncs well known clients talent acquisition application development training needs singapore malaysia brunei vietnam thailand client establish company leader within industry looking sap consultant join organization diploma degree 2 years experience involved system configuration testing migration part large system implementation team fluent english good communicator work independently successful candidates expect competitive remuneration package comprehensive range benefits interested candidates please submit detailed resume online success recruitment team intellect minds pte ltd singapore,"Executive, Junior Executive",JOB-2019-0097988
Software Development,Micro Service Developer,".NET, Agile Methodologies, AJAX, ASP.NET, C#, C++, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, Scrum, Software Development, SQL, Subversion, Web Applications, Web Services, XML",,Salary undisclosed,8 BULIM AVENUE 648166,,5 years  exp,technologies looking dynamic individual keen join growing organization fast paced expanding supply chain software industry singapore goes digital individual play role developing upgrading saas tools valued added services clients responsibilities 1 work architect framework designer develop next generation cloud base micro services suite 2 design implement micro service modules primary supply chain systems design must flexible scalable future expansion upgrade 3 establish api services api gateway internal external communications integrations 4 document design works proper standard formats detail descriptions ensure design documentations include module data always follow standards date 5 conduct agile development methodology micro services development life cycle 6 carry unit integration testing regularly qc team requirements bachelor degree information technology computer science preferably 3 years experience intensive knowledge several java platform technologies rest workflow etc familiar infra layer technology docker familiar one several common frameworks tools hibernate redis elk log analysis familiar one several microservice frameworks tools spring cloud config familiar key micro services technology event store message queue experiences solutions specific part web system application input validation single cross data transfer exception handling log management interactive message security handling sync processes performance candidates working experience logistics supply chain transportation preferred familiar agile developmental life cycle excellent written good spoken communication skills english mandarin liaising china business partners,Professional,JOB-2019-0071832
IT Consulting,ICT Consultant (Presales & Project),"2G, 3G, Cabling, Customer Service, Fiber Optics, GSM, IP, Management, Microsoft Office, Microwave, Networking, NSN, PDH, Project Management, SDH, Telecommunications, Transmission, Troubleshooting, UMTS, WCDMA",,Salary undisclosed,not_available,,3 years  exp,responsibilities responsible ict project pre sales post sales technical support customer responsible si services technical support including network integration services application integration integrated solution provide consultancy services customer vendor partner site complex requirements responsible planning designing implementing customer networking project project responsible ict project management including planning scope work implementation cost risk management uat delivery customer requirements degree holder computer studies electrical engineering telecommunications minimum 3 years working experience pre sales technical support project implementation system integration sound knowledge lan wan networking technology computer technology vendor network equipment equipment good documentation skill proficiency writing technical proposal english drawing network diagram ms visio excellent communication presentation skills good command spoken written english mandarin occasional travel required singaporean spr,Executive,JOB-2019-0008144
Project & Program Management,Project Manager,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$2,500to$4,000Monthly","SHRIRO HOUSE, 11 CHANG CHARN ROAD 159640",,3 years  exp,searching special join us someone sees things differently like 're looking someone provide game changing services customers interacting customers responding needs charge infrastructures planning proposing varying small medium companies often traveling offices customers singapore need someone cheerful pleasant disposition resourcefulness independent strong follow skill key quality position skills proficient spreadsheets word processing digital diagrams least 2 years system administrator experience least 2 years project management experience industry 5 years great understanding system architecture design soft skills good communication skills chinese english able write english able work independently strong follow skills good interpersonal skills able assertive confident high level ethics values integrity trust approachable friendly attitude strong track record solving complex problems strategic thinking delivering significant impact ability think strategically plan execute multiple projects simultaneously organized fashion able plan formulate coordinate project effectively,Manager,JOB-2019-0097686
Network Engineering,Network Engineer,"Active Directory, CCNA, Cisco Technologies, Data Center, Disaster Recovery, Firewalls, Network Administration, Network Design, Network Engineering, Network Security, Networking, Routers, Routing, Security, Switches, TCP/IP, Troubleshooting, VMware, VPN, WAN",,"$6,500to$9,000Monthly","SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",,6 years  exp,individual contributor role responsible successful migration clients asia pacific ap central europe middle east africa america existing connections us data centers singapore data center position operates intermediate professional level require strong execution analytical abilities candidate works independently receives minimal guidance position 1 year contract role responsibilities participate actively carrying network changes troubleshooting resolving complex 1st 2nd level network related issues coordinate resources necessary serve escalation point various operational teams respond resolve ip network issues within timeframe based severity level agreement sla deploy client solutions network design implementations take initiative proactively discover potential network impacts resolve issues shortest time frame participate actively problem resolution root cause analysis related data center project business usual activities deploy document changes accordance problem incident change management process communicate effectively efficiently relevant stakeholders including internal external customers resolution root cause outage service interruption carry effective prompt measures restore services resolve issues via appropriate configuration changes maintain service integrity ability write fluently communicate effectively senior management non technical language position may required work weekends based project clients requirement requirementsqualifications bachelors degree equivalent experience minimum 3 years experience working 2nd level network support administration role possess strong technical problem solving skills ability meet deadlines commitments fast paced environment requires multitasking tasks related project bau activities broad knowledge background tcp ip mpls wan lan good working knowledge cisco switches sound understanding working knowledge routing protocols bgp eigrp ospf tunneling excellent team player also possess collaboration quality work professionally various teams clients stakeholders achieve team project goals good process orientation ability clarify objectives evaluate options consider implications assess risks make sound decisions situation arises good interpersonal facilitation skills along effective communication written verbal skills ability convey network concepts issues technical non technical audiences,Executive,JOB-2019-0097960
DevOps & Cloud,Site Supervisor – Void Deck Columns,"Business Development, Business Strategy, CRM, Customer Service, Event Management, Leadership, Management, Marketing, Marketing Strategy, Microsoft Office, Negotiation, New Business Development, Program Management, Project Management, Sales, Social Media, Strategic Planning, Strategy, Team Leadership, Training",,"$4,500to$5,500Monthly","GERMAN CENTRE, 25 INTERNATIONAL BUSINESS PARK 609916",,3 years  exp,site supervisors required take carry instructions including administrative tasks rep overall coordinator site site supervisor overall coordinator required take carry instructions rep relationship site supervisors shall capable maintaining relationship residents ground agencies staff site supervisory staff personally attend resident queries feedback complaints site supervisors always try look act part following points observed times proper ppe required occasional meals office hours join contractors staff entertainment working hours accept gifts offers contractors sub contractors suppliers punctual work work related appointments keep client officer charge site staff informed diligently assist timely site inspections requested times must avoid conflict personal interests project dealing contractors subcontractors suppliers mobile phone assist rep verifying keeping records variations carried site verify reports claims submitted contractors ensure works carried safe proper manner assist enforcing safety requirements ensure contractors maintain safety cleanliness tidiness site monitor report contractor progress planned schedule performance maintain site records works include circumstances events construction stage monitor ensure contractor follows strictly work program submitted ensure delay project check works within block carried according approved work schedule ensure materials require approval rep submitted time ensure delay progress works site check quality materials delivered site report rep materials conforming specifications identify verify client buildings decks previously improvement works conduct site surveys inspect assist handing taking completed works ensure proper updated records works including records variation works work progress etc kept check housekeeping works ensure estates remain hygienic times perform overtime work instructed client rep computer data entry taking progress photos requirementsthe listed scope work exhaustive client reserved right include areas work relevant required work qualification skill experience personnel appointed site supervisors various batch contracts shall possess following minimum qualifications practical experience stipulated least 3 years relevant working experience accredited resident technical officers institution engineers singapore ies possess demonstrate track record team players restricted limited individual discipline ability contribute team deliver project proficient using microsoft word excel powerpoint possesses class 3 driving licence,Executive,JOB-2019-0097685
Engineering & Technical,"Associate, Nice Recording SME, Technology Services,  Technology and Operations (WD04157)","Business Development, Business Strategy, Customer Service, Due Diligence, Financial Analysis, Financial Modeling, Leadership, Management, Marketing, Mergers & Acquisitions, Microsoft Excel, Microsoft Office, Private Equity, Project Management, Public Speaking, Research, Social Media, Strategic Planning, Strategy, Valuation",,"$3,750to$6,800Monthly","MARINA BAY FINANCIAL CENTRE, 12 MARINA BOULEVARD 018982",,5 years  exp,business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels responsibilities support project activities dbs voice infrastructure lead manage nice recording projects dbs including following tasks monitor assess assign daily nice recording incident service request tickets assignment team review tickets determine recurring patterns initiate execute improvements provide guidance end users nice recording usage features configurations privileges perform troubleshooting analysis critical issues direct vendor l3 resolution propose lead operational enhancements processes tools nice recording documentation relevant operations processes future reference requirementswork experience minimum 10 years experience performing supporting voice operations avaya cm cisco nice recording version 3 x onwards minimum 5 years team lead operations manager position specific nice recording familiar nice monitoring depth analysis alerts logs depth troubleshooting led project implementations least 2 major nice system upgrades past 5 years major voice system involving 2000 users able lead team troubleshoot isolate complex end end technical issues across multiple voice platforms cisco avaya professional qualification itil certification minimum itil foundation v3 mandatory nice installation administration mandatory avaya ccna collaboration certification optional academic qualification university degree telecommunications related courses preferred consider diploma telecommunications related courses professional criteria met work hours regular attendance work day 8 30am 6pm mon fri due operations nature commitment 24 x 7 standby office hours 10pm 6am weekdays weekends mandatory note suitable rest periods allowed arranged work,Executive,JOB-2019-0098042
